Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
TC2N	2.80130875	0.015446719
ZNF282	-0.496833333	0.015491781
GALNT18	-0.184842917	0.015527718
DOCK8	0.792957083	0.015558774
TBC1D5	-0.558939583	0.015606873
OR4C15	0.18719375	0.015623788
ENPP4	0.722693333	0.015625018
HAGH	-0.314202083	0.015675756
MACROD2	0.353573333	0.015732782
WDSUB1	1.230542083	0.015754312
CRK	0.45602	0.015794548
MYDGF	-0.36603375	0.015895166
HAPLN1	-0.18414875	0.015981339
CXADR	0.700640417	0.01598498
PRKY	0.616944167	0.016002318
CLTC	0.397941667	0.016042535
ZNF496	-0.44262375	0.01616195
MYO1E	2.748807917	0.016163604
NIPSNAP3A	1.27238625	0.016199082
C3orf49	-0.148892917	0.016207676
FAM208B	0.701615	0.016238892
GRAMD1B	-1.888674583	0.016361855
ARHGEF26	0.818044583	0.016363915
ARHGAP10	0.946896667	0.016404064
NAV1	-0.931334167	0.016486657
DKK3	-0.228630833	0.016520165
PPAP2A	0.9393925	0.016590254
GAS6-AS1	-1.118572083	0.016656401
HHLA1	-0.1191875	0.016696999
GALT	0.365194583	0.016742196
IL1RAP	-0.921973333	0.016786355
TRIM4	-0.45810125	0.016806607
CCL21	-0.169533333	0.016812755
LINC01512	-0.199614583	0.016836967
NUP88	0.564565417	0.01687848
AADACL2	0.104555417	0.016887508
ODF2	0.240337917	0.01693349
TRIM22	-0.20298375	0.016971207
CD247	-1.225905833	0.017020094
MACF1	0.85750375	0.017025566
DPY19L2P4	-0.244582917	0.017075054
PELP1	0.335055	0.017160379
DDC-AS1	-0.196882083	0.017331129
FAR1	0.372812917	0.017403556
NUB1	-0.926319167	0.017464678
CAP1	0.349020833	0.017471405
RABEP1	0.778938333	0.017515975
LRRC61	-0.382371667	0.0175843
UGCG	0.792444583	0.017609791
TSPAN16	-0.1626775	0.017626288
LAMA5	-0.439900833	0.017647905
TACC1	1.076887083	0.01771818
FTH1P3	0.268835833	0.017737729
BMPR2	1.214195417	0.017754606
FER1L6	-0.1694125	0.017769093
IL4R	1.837985833	0.017873398
CCNA1	-0.095214583	0.017882701
MCPH1	-0.56520375	0.01788464
PIGM	-1.253616667	0.018002336
C15orf48	0.113330833	0.018121391
DGKZ	-0.429925833	0.018251381
EFCAB11	-0.289875	0.018306934
FAM213A	1.459282917	0.01855636
C10orf131	0.232530417	0.018590674
TRMT11	-2.058200417	0.018765443
AK4	2.30527625	0.018979463
LOC729173	-0.27527625	0.018983238
LINC00574	-0.101995417	0.019080402
HIVEP2	0.96600125	0.019089767
AHSA2	-0.5817075	0.019133516
HHEX	-1.61839	0.019158752
TIMM10B	0.391979583	0.019169696
ADD3	1.021527083	0.019307131
HIST1H3G	0.900057083	0.019326835
C16orf58	-0.342847083	0.019346269
SLC6A14	0.140846667	0.019592812
ATP4A	-0.322155833	0.019653638
CISD2	-0.399699583	0.019789235
ARHGEF1	0.338917083	0.019803739
PSTPIP1	-0.353838333	0.01984648
LRRFIP1	1.064649583	0.019852827
OSBP2	-0.312463333	0.019876421
ATP5B	-0.1173375	0.019891999
RHNO1	-0.3524275	0.019910919
PRKCSH	-0.58932875	0.020013707
GTF2F2	-0.370642083	0.020076605
PLCH1	-0.79147375	0.020096813
PDE6B	0.323130417	0.020279916
ZCCHC16	0.13908875	0.020369766
TLR3	-1.3705625	0.020409168
CHN1	-1.673335833	0.020456394
ZAK	-1.771570833	0.020505765
CDK11B	0.375969167	0.020663738
CDK11B	0.375969167	0.020663738
AKR7A2P1	-0.259673333	0.020708609
CALU	-0.75782	0.020719821
YEATS2	-0.302374167	0.020720188
BTN2A3P	-0.378874167	0.020776218
DUSP6	-2.0597825	0.020782193
HSD17B8	0.575403333	0.020814695
HSD17B8	0.575403333	0.020814695
HSD17B8	0.575403333	0.020814695
PRDM2	0.724974167	0.020861567
TLR1	1.200554583	0.020895403
CDK11B	0.358070417	0.020988617
NBPF3	0.894969167	0.021000912
SLC9A2	-0.115982083	0.021004738
CD163L1	-0.168370417	0.021029507
ATPAF2	0.415230417	0.021055418
AP4B1	0.349540417	0.021184805
CDK11B	0.367759167	0.021259543
ZNF594	1.173920417	0.021276094
KRTAP5-5	-0.376232083	0.021285316
TMEM2	2.013744167	0.021377165
ZNF320	-1.309061667	0.021398055
TERF1	-0.61327125	0.021518607
PHF14	-0.529021667	0.02151901
FASTK	-0.468137083	0.021527629
SYCE2	0.528151667	0.021557226
ZC3H13	-0.287680417	0.021633667
GPR158	1.889882917	0.021640461
TTN	1.374416667	0.021770179
BPIFC	-0.082430833	0.021791622
CHRM1	-0.259177083	0.021793026
OR2M7	-0.15928375	0.021802946
CRLS1	-0.516771667	0.021956155
SAPCD1	0.286950417	0.022014228
OR4C6	0.143209167	0.02203955
BBS9	-0.464196667	0.022058041
ZNF827	0.592535417	0.02215375
ZCRB1	-0.36275	0.022155578
IMPDH1	-0.354511667	0.022179461
CHPT1	1.240754583	0.02221896
MKLN1	-0.494932917	0.0222224
ZFAND4	2.0993125	0.02231641
SLC14A1	0.334245417	0.022325571
C19orf68	-0.12784625	0.022339761
OR5C1	-0.235181667	0.02236039
FBXO43	0.536171667	0.022366915
PPIEL	0.1412825	0.022447951
CR2	3.208530417	0.022499365
AAK1	1.024354583	0.022514405
SLC20A2	-0.895060417	0.022544351
ADAL	1.447890417	0.0225971
DERL2	0.4290175	0.022643921
INGX	-0.175189167	0.022667078
C1orf50	0.23545125	0.022682257
C17orf85	0.521062083	0.022707002
NUDT9	-0.407922083	0.022718526
CDKL4	0.75686375	0.022885838
KDM4C	0.462852917	0.02306209
SGMS1	0.69539375	0.023113543
MT1L	-0.370744167	0.023248168
XPR1	-0.52594625	0.023248515
CADPS	1.330729583	0.023286139
DGKZ	-0.28254	0.023303876
UNC13B	0.9286475	0.023343567
MED11	0.457730417	0.023354553
STAM2	0.406325833	0.023538025
CCDC177	0.1697125	0.023590556
SPINT3	-0.150053333	0.023603412
TRAM2	-1.2142275	0.023741715
SLC4A2	-0.584029583	0.023787591
BAG3	-0.688914167	0.023947966
ANO10	1.128625833	0.023949199
WDR33	0.209782083	0.024018048
BNIP3	2.497625417	0.024046009
ZNF438	0.444452917	0.02408763
ATN1	-0.2424375	0.024125886
CXXC5	1.366112917	0.024149211
EPHB2	-0.248677083	0.024207788
SLC7A9	0.0728925	0.024234029
WBP11	-0.36585375	0.024284203
CLEC4E	0.079327083	0.0242891
PPP1R1C	0.458862083	0.024410605
NCEH1	0.434831667	0.024435448
OR4D2	-0.158170417	0.02447805
CNDP1	-0.11580375	0.024541806
SPTBN2	-1.067690417	0.024577682
MTMR2	-2.556718333	0.024584258
JAM3	-0.225812083	0.024688143
TRIM40	-0.209456667	0.024715473
CEP350	-0.341154167	0.024754211
NQO1	-0.945219167	0.024895501
TMEM205	-0.471332917	0.024982868
C6orf15	-0.135982917	0.025020839
APOBEC3G	1.379774167	0.025081211
MRPL53	-0.47318875	0.025100317
MYL6B	0.271375833	0.025104187
TOR3A	-0.36004	0.025152031
STK24	-0.412028333	0.025228744
ALG9	0.245775	0.025248954
TMEM64	0.704485417	0.025256399
PLEKHS1	-0.11551125	0.025271974
MACF1	1.34567375	0.025302913
FOXRED2	0.629169167	0.025313165
MRPS24	-0.307015833	0.025335558
CDK11B	0.353278333	0.025417868
CDK11B	0.353278333	0.025417868
C14orf142	0.375258333	0.025521201
KRTAP6-3	-0.186029167	0.025552524
KCNK10	-0.402999583	0.025581267
DMRT1	0.28222625	0.025582667
OPN1LW	-0.28307875	0.025584493
ACBD6	-0.322639583	0.025660045
WFDC5	-0.203088333	0.0256828
FRMD6	0.171797083	0.025695534
EIF2AK1	-0.255759167	0.025698064
SPINK2	1.521037917	0.025717762
PER3	0.804323333	0.025755351
COMMD10	-0.417319167	0.025839299
KRTAP20-1	0.16754125	0.025870475
COX14	-0.290050833	0.025887617
RPA1	0.408803333	0.025966774
OR2T6	0.255955833	0.026067242
TMED5	0.352980833	0.02607858
BIN2	-0.258830417	0.026129689
AOC2	0.28850625	0.026210946
PCGF1	-0.37688375	0.026221121
NMRK1	0.687832083	0.02622527
F11	-0.158963333	0.026264509
NARF	-0.53467125	0.026270954
ARID2	-0.71230625	0.026350589
PPP1R26	-0.310449167	0.026436155
SNORD116-12	0.56008875	0.026468271
SNORA14A	-0.13171125	0.026532412
OCIAD2	-2.048975417	0.026567834
RFC3	-0.569771667	0.026574537
ILDR2	-0.606694167	0.026585441
SSU72	0.350525833	0.026593246
NHLRC2	0.367084583	0.026657771
KPNA6	0.292195	0.026662194
KIF16B	0.59363875	0.026838321
PPP2R4	-0.596019167	0.026889231
ZIC1	0.234483333	0.026942983
LOC100499484-C9ORF174	-0.438501667	0.026954106
CXCL10	1.339210833	0.027037027
SEC62	0.492089167	0.027053065
LOC641367	0.134257083	0.027127403
MBD3L2	-0.161111667	0.027130737
NINL	-0.253307083	0.027137952
FGFR4	0.453480833	0.027139509
NFE4	0.134642917	0.027146319
LACC1	0.929370417	0.027180669
MYPN	-0.132547083	0.027232509
MUC19	-0.125524583	0.027236663
ADH7	0.104249167	0.027447077
C22orf34	0.455434583	0.027599519
MYH3	0.20100875	0.027693168
TMEM106B	-0.719135833	0.027759988
TMEM241	0.293845417	0.027804078
GABARAPL1	1.188867917	0.027812745
CCDC153	-0.164895	0.027813983
CENPW	-0.489068333	0.028169779
OR51B4	-0.09573625	0.02820679
LOC100131373	-0.301634583	0.02823819
TMEM14E	0.330312083	0.028388591
GTSF1	-3.108729583	0.028396155
IGFLR1	0.398533333	0.028405399
ABHD15	-0.648384583	0.028428906
TGFBR1	0.833083333	0.028454357
OR2W5	-0.165887083	0.028762538
PPA2	-0.55448875	0.028952946
RAB13	-0.350649583	0.02900375
CAMKV	-0.612929167	0.029017223
RHBDL2	0.115816667	0.029062497
WIPI2	-0.530830833	0.029138685
GALNT1	-0.9970075	0.029187106
KLHDC10	-0.44880625	0.029214532
ATOH1	-0.234682917	0.029217985
MDC1	0.435102917	0.029283507
MDC1	0.435102917	0.029283507
ALOX5	1.87551875	0.029391219
C7orf55	-0.334194167	0.029391807
VPS4A	-0.361329167	0.02942084
CCDC88A	1.463961667	0.029516709
ATRX	-0.429431667	0.029521825
NRARP	0.189285833	0.029629112
KLHL7	-0.38380625	0.029686978
BPGM	-0.596280833	0.029708849
FAM58A	-0.569166667	0.029729104
OR7E24	-0.143945	0.029743912
BCHE	1.509297083	0.029900343
NRIP2	-0.187377917	0.029945323
SLC12A5	-0.198874167	0.030023766
MBTPS1	-0.68848625	0.030139081
MT1X	-1.114876667	0.030165552
CXCL2	-0.2054375	0.030191242
LBP	-0.17968875	0.030259152
15-Sep	-0.235391667	0.030271679
SPEN	0.356247917	0.030277392
ZNRF2	-0.197997917	0.030290343
GFOD1	0.45198625	0.030298333
RPL39L	-0.955220417	0.030332176
PIP5K1A	-0.46082125	0.030431099
BMPER	-0.094499167	0.030475371
PLOD3	-0.4768425	0.030498539
OLR1	0.814543333	0.030515412
RASAL3	0.415722083	0.030519136
MLLT3	2.03218375	0.030587461
NIPAL2	-1.021959583	0.030634476
LOC728024	-0.371688333	0.030647944
SGSH	-0.412437083	0.030655672
PFKFB3	0.904760833	0.030845742
ACVR2A	-1.081462083	0.030898279
TEKT3	-0.134404583	0.030919349
BNC1	-0.111015833	0.030943476
JTB	-0.213341667	0.031014966
OR52N1	-0.238281667	0.031091981
BRAF	-0.618477917	0.031110926
USP31	0.612487083	0.031124436
LY6G5B	0.53753875	0.031130861
RAPGEF3	-0.379492917	0.031185763
GRK4	0.438325833	0.031186775
C11orf53	-0.173010833	0.031253698
ZFP37	-0.66116125	0.03125631
VDAC3	-0.908466667	0.03130933
ZNF385D	-0.2102825	0.031366195
CIR1	-0.424751667	0.031371179
PBK	-2.650611667	0.031384147
ASB12	-0.235282083	0.031390929
RAB20	0.288242083	0.031406233
RAB44	-0.241037917	0.031460016
HFE	-0.487415833	0.031467794
RNF216P1	-0.413285417	0.03160555
CCDC85C	-0.436863333	0.031680625
IL3	-0.18726875	0.031694474
FAM214B	0.595155833	0.031705745
ORM1	-0.186675833	0.031725463
MAP4K4	1.20908625	0.031740004
PROM1	0.18039875	0.031749905
ELAVL3	-0.082554167	0.031788538
GORASP2	0.320557917	0.031792488
RIC1	0.468522917	0.031803743
MUC16	-0.253572083	0.031821491
PLXNA1	-0.4983825	0.031828055
TRHDE-AS1	-0.20641375	0.031876628
ALX1	-0.11848875	0.031884297
CAMSAP1	-0.63964375	0.031966993
FAM231B	0.18371	0.032036366
FAM231B	0.18371	0.032036366
ELF3	-0.239355	0.032053449
ING1	-0.210566667	0.032058682
RGS7	-0.156027917	0.032106877
SLC39A3	-0.408882083	0.032126643
GNPAT	-0.419222083	0.032229646
FAM13A	-0.117875	0.03223648
EYA4	0.83020125	0.032247856
FOXK1	-0.375413333	0.032250303
CALCA	-0.20595125	0.032269627
CDA	-0.14200875	0.032333863
TSPAN8	-0.231415417	0.032419446
SNORA65	0.452790417	0.032478156
CD70	0.820525833	0.032555528
ACTR3	0.423758333	0.032690838
NUDT17	-0.279769583	0.03280468
RAB43	0.920780417	0.032963801
TBX19	-0.246237083	0.033087166
AGAP3	-0.467165	0.033107457
ABCC8	-0.156905417	0.033127296
KRT17	-0.225652917	0.033155631
PRPSAP2	0.634800833	0.033201706
SSH1	-0.250219583	0.033285424
NLGN3	-0.123535	0.033328473
SLC25A11	0.40631875	0.033434626
SOS1	-0.574026667	0.033545924
OR2AT4	-0.189017083	0.03356155
BUB1	-0.508234583	0.033609509
TRPC4	0.14681875	0.033610189
NDRG1	-0.655135833	0.033675078
XRCC2	-0.719513333	0.033676199
HORMAD2	0.209814167	0.033771228
DEDD	-0.263819167	0.033771963
TECTA	-0.23292375	0.033777843
RRNAD1	-0.26128125	0.033841912
SNORD115-34	0.149005833	0.033880068
HMG20A	0.57904625	0.033885395
TRIM36	-0.37260625	0.033989804
BMPR1A	1.698939583	0.034010504
C9orf135	0.12600125	0.034058878
PHPT1	0.174950833	0.03420949
KDELC2	-1.651551667	0.034213994
FBXW4	0.263304167	0.034242096
MRPS25	0.406334583	0.034303881
POLB	-0.627635833	0.03438647
RREB1	0.571919583	0.034429309
BTBD6	-0.838646667	0.034449262
RAB18	0.478582917	0.034460775
BRD7P3	-0.202393333	0.034552383
NKIRAS1	0.5434075	0.034599358
KIF13A	-0.817035833	0.034671873
BCL2L11	-0.942924167	0.034692964
MYLIP	1.04523375	0.034716503
SLC12A4	0.693631667	0.034742118
CEP192	0.269192083	0.034831724
ETV4	-1.306485833	0.034841773
RBM28	-0.58883	0.034873646
G6PC	-0.155909167	0.034879094
LDB3	-0.3480375	0.034934745
CCDC112	-1.201016667	0.035054022
POPDC3	0.116075	0.035064492
CD72	1.416937083	0.03517129
PML	0.256443333	0.035181756
LRRC70	0.324019167	0.035211965
RBM6	0.381897917	0.035248402
ITIH5	-0.13395	0.03527047
GRAMD1C	1.517057917	0.035291609
FAM189A2	-0.131446667	0.035298727
RPS19	0.332358333	0.03530152
SNAPIN	-0.19220125	0.035502128
FXR2	0.547075417	0.035559275
A4GNT	-0.12423	0.035562844
TIAM2	1.20683375	0.03556291
EZH2	-0.683304583	0.035579879
ATG16L1	0.39391	0.035608956
PPP2R5A	0.38255	0.03578212
PDZD9	-0.109772917	0.035793254
RIMBP3	-0.499457917	0.035866026
NAGK	0.677356667	0.035872257
UFC1	-0.43869125	0.035874495
KDELR2	-0.357022917	0.035902668
FGFR1OP2	-0.33751	0.035950846
MBP	-0.535447083	0.03596314
CFAP47	0.4935125	0.036015958
RRBP1	1.125355	0.036071992
OR7E35P	0.56946125	0.03611162
IQCF2	-0.1200125	0.036117078
PPAP2B	0.64100625	0.03615617
STRADA	0.195925833	0.036183471
C1orf100	-0.064465833	0.036243675
C11orf1	0.697383333	0.0362794
PDIA4	-0.57405125	0.036329807
GNB5	0.375904167	0.036340668
FOXP2	-0.377305417	0.036402518
KLHL9	-0.82050875	0.036413237
BCL2L1	-1.035287083	0.036472202
MRPS16	0.213790833	0.03648132
OR7E37P	0.578972917	0.036550197
MT1IP	-0.2525825	0.036651102
ZFP36L1	0.759922083	0.03674853
DCUN1D2	-0.47770875	0.036783514
ATRX	-0.40535875	0.036896096
SNF8	-0.359735	0.036919733
FAM19A2	-0.20818	0.036946469
PIWIL3	0.108910417	0.036966519
FUT10	0.5996925	0.037091425
EZH1	-0.415104583	0.037145712
ISOC1	-1.954330833	0.037162899
TTTY10	0.278605	0.037186682
RP9	-0.488415417	0.037258846
MAN2C1	0.261580417	0.037403154
GIT1	-0.444107083	0.037403339
TMEM150A	-0.368299583	0.037434892
PDGFA	-0.212017083	0.037533209
MLYCD	-0.307754583	0.037569967
MYH9	0.41775125	0.037672211
FBXL14	-0.307669167	0.037684825
TP53INP1	1.344947917	0.03775667
CYC1	-0.327930833	0.037759555
LRRFIP1	0.827134583	0.037760932
SYMPK	0.20797875	0.037771256
CAMKK1	0.261666667	0.03782005
PCMTD1	-0.5406475	0.037854841
MLF1	-0.164471667	0.03785541
OR13C4	-0.25398375	0.037868528
IRAK1	-0.64184625	0.037917169
RHPN1-AS1	-0.32701375	0.037944844
TBC1D10A	0.34444	0.037950059
TERF1	-0.604525	0.03795029
ANXA4	2.200077917	0.038008007
GOLGA8IP	0.4541325	0.038174247
LY6G5B	0.5147075	0.038233526
PAK2	-0.410245	0.038234911
LINC01554	0.121919583	0.038279733
RGR	-0.142225833	0.038283149
PMM2	0.39823875	0.038305646
HN1	0.382615833	0.038367268
FTSJ2	-0.3284625	0.038384683
LOC100130236	-0.17888375	0.038405278
